anchor,hyponym
sea animal,seaweed
sea animal,water bottle
sea animal,broccoli
sea animal,music box
sea animal,seafood
sea animal,coffee table
sea animal,wrap
sea animal,star fruit
sea animal,swimming pool
women's clothing,router
women's clothing,scoop
women's clothing,swimming pool
women's clothing,washing machine
women's clothing,shower cap
women's clothing,sewing machine
women's clothing,christmas tree
women's clothing,lettuce
women's clothing,string cheese
women's clothing,jewelry
women's clothing,gum
women's clothing,wine cooler
women's clothing,headdress
women's clothing,shaving cream
women's clothing,jam
women's clothing,roll
women's clothing,wrap
women's clothing,handle
women's clothing,hot tub
women's clothing,vise
food,headband
food,bunkbed
food,life jacket
food,shelf
food,water heater
food,tongs
food,blowfish
food,letter opener
food,defibrillator
food,bracelet
food,rattle
food,balloon
food,knot
food,jellyfish
food,stereo
food,robe
food,paintbrush
food,chain
food,police car
food,pan
food,jacket
food,koala
food,kazoo
food,bison
food,can
food,test tube
food,blowgun
food,hovercraft
food,centerpiece
food,water bottle
food,television
food,floss
food,hoodie
food,hubcap
food,boa
food,air mattress
food,table
food,diaper
food,chisel
food,mongoose
food,padlock
food,game
food,ashtray
food,freezer
food,wine cooler
food,turban
food,funnel
food,shoe
food,dreidel
food,shower cap
food,flamethrower
food,headscarf
food,grenade
food,smoothie
food,headrest
food,beer
food,eggbeater
food,cow
food,stretcher
food,duckling
food,shopping basket
food,stockings
food,harp
food,pillbox
food,coffee
food,landmine
food,cellphone
food,clarinet
food,razor
food,fan
food,jeans
food,polisher
food,clasp
food,beachball
food,rocking chair
food,outfit
food,flask
food,airbag
food,bed
food,reindeer
food,scrabble
food,taillight
food,lavender
food,chihuahua
food,washing machine
food,lighter
food,breadbox
food,ship
food,drink
food,sweater
food,bus
food,piggy bank
food,briefcase
food,bolt
food,pocket
food,costume
food,safety pin
food,hairpin
food,harmonica
food,milk
food,duffel bag
food,curling iron
food,first-aid kit
food,nail
food,nail clippers
food,bamboo
food,urn
food,zipper
food,coffee table
food,trombone
food,slipper
food,vise
food,chicken wire
food,frame
food,clover
food,rack
food,router
food,organ
food,weather vane
food,yacht
food,bandana
food,food processor
food,coral
food,corkscrew
food,keg
food,whiteboard
food,piano
food,boxer shorts
food,clothes
food,book
food,kangaroo
food,footrest
food,modem
food,kite
food,bush
food,match
food,cabinet
food,jewelry
food,swan
food,cobra
food,rocking horse
food,rhinoceros
food,kettle
food,water filter
food,yak
food,watering can
food,thermos
food,overalls
food,cup
food,pin
food,terrarium
food,vending machine
food,scoop
food,baton
food,panda
food,metal detector
food,makeup
food,sandal
food,button
food,shaving cream
food,motorcycle
food,hammer
food,dynamite
food,wok
food,dryer
food,taxi
food,cloak
food,hammock
food,platypus
food,microphone
food,muff
food,bandage
food,rattlesnake
food,nail polish
food,doorknob
food,hairnet
food,birdcage
food,paper bag
food,undershirt
food,cooker
food,throne
food,rocket
food,hopscotch
food,fishnet stockings
food,velcro
food,coffee pot
food,wig
food,drum
food,spear
food,giraffe
food,doll
food,footbath
food,revolver
food,iron
food,candelabra
food,bow
food,grille
food,birdhouse
food,bulletproof vest
food,cd player
food,otter
food,trident
food,bassinet
food,glasses
food,toy
food,ballot box
food,backpack
food,wine bottle
food,rollerblade
food,french horn
food,ivy
food,toilet paper
food,hot tub
food,centrifuge
food,bottle opener
food,pug
food,carriage
food,workbench
food,bookshelf
food,iceskate
food,sarcophagus
food,washcloth
food,aloe
food,grasshopper
food,jar
food,helicopter
food,cummerbund
food,chariot
food,turtle
food,kimono
food,antelope
food,fishbowl
food,buckle
food,wasp
food,glass
food,tugboat
food,hoe
food,mandolin
food,jeep
food,violin
food,fox
food,sheep
food,mixer
food,sling
food,hairdryer
food,bra
food,music box
food,goldfish
food,hot-air balloon
food,chaps
food,projector
food,nail file
food,mascara
food,beanie
food,lock
food,donkey
food,hearing aid
food,lightbulb
food,bathtub
food,uniform
food,bomb
food,bulldozer
food,margarita
food,pencil sharpener
food,moose
food,joystick
food,board game
food,slingshot
food,tick
food,handle
food,lunchbox
food,machine gun
food,fountain pen
food,tie
food,car seat
food,hot-water bottle
food,pen
food,trumpet
food,hummingbird
food,birdbath
food,barrette
food,air conditioner
food,rake
food,sewing machine
food,kayak
food,walker
food,wineglass
food,quill
food,poker
food,ball
food,airplane
food,jet
food,christmas tree
food,hairbrush
condiment,curry
condiment,lighter
condiment,hearing aid
condiment,salad
condiment,machine gun
condiment,wrap
condiment,casserole
condiment,router
condiment,crouton
condiment,handle
condiment,throne
condiment,marijuana
condiment,dessert
condiment,parfait
condiment,snack
condiment,almond
