premise,premise-sense,conclusion,similarity
accessory,accessory.n.01,trident,0.4572477340698242
electronic device,electronic_device.n.01,scoop,0.40938127040863037
accessory,accessory.n.01,abacus,0.7593022584915161
tool,tool.n.01,coyote,0.4477754235267639
food,food.n.01,ant,0.6057928800582886
container,container.n.01,rooster,0.4282330274581909
clothing,clothing.n.01,stroller,0.7107647657394409
vehicle,vehicle.n.01,car door,0.6450306177139282
food,food.n.01,rollerskate,0.4903927445411682
food,food.n.01,whale,0.5980334877967834
weapon,weapon.n.01,spatula,0.705374002456665
animal,animal.n.01,flask,0.47613340616226196
dessert,dessert.n.01,chickpea,0.739658534526825
livestock,livestock.n.01,tube top,0.6732151508331299
seafood,seafood.n.01,jacket,0.3497060239315033
plant,plant.n.02,bassoon,0.4383406937122345
mammal,mammal.n.01,chair,0.42617470026016235
footwear,footwear.n.01,bull,0.4485536813735962
dessert,dessert.n.01,goose,0.7469943165779114
livestock,livestock.n.01,prune,0.39929699897766113
food,food.n.01,quill,0.4797769784927368
animal,animal.n.01,pot,0.621403694152832
food,food.n.01,lightbulb,0.5949519872665405
tool,tool.n.01,inkwell,0.5908888578414917
toy,plaything.n.01,rearview mirror,0.4502243101596832
accessory,accessory.n.01,bassoon,0.4388687014579773
toy,plaything.n.01,stretcher,0.7375392913818359
kitchen equipment,kitchen_appliance.n.01,nut,0.4381691515445709
tool,tool.n.01,blackberry,0.4349968433380127
mammal,mammal.n.01,eel,0.7679719924926758
container,container.n.01,fruitcake,0.6618183851242065
food,food.n.01,bikini,0.45093318819999695
medical equipment,medical_instrument.n.01,triangle,0.700512707233429
clothing,clothing.n.01,eel,0.7053070068359375
fruit,edible_fruit.n.01,clove,0.7141302824020386
garden tool,garden_tool.n.01,elephant,0.40343326330184937
fruit,edible_fruit.n.01,zebra,0.4204502999782562
container,container.n.01,puppy,0.43855684995651245
clothing,clothing.n.01,sheep,0.5165358781814575
animal,animal.n.01,whisk,0.6874216794967651
animal,animal.n.01,banana,0.4794295132160187
food,food.n.01,bolt,0.6941266059875488
container,container.n.01,food processor,0.6498154401779175
food,food.n.01,clover,0.4508330225944519
clothing,clothing.n.01,fly,0.5202836990356445
toy,plaything.n.01,margarita,0.4390328526496887
vehicle,vehicle.n.01,weasel,0.6315956711769104
food,food.n.01,envelope,0.6805242300033569
seafood,seafood.n.01,chair,0.3434140086174011
vehicle,vehicle.n.01,pea,0.6315562129020691
toy,plaything.n.01,nut,0.44777703285217285
insect,insect.n.01,jacket,0.382175087928772
jewelry,jewelry.n.01,zebra,0.3723162114620209
food,food.n.01,computer,0.5969441533088684
animal,animal.n.01,mushroom,0.6938973665237427
plant,plant.n.02,stretcher,0.6921391487121582
animal,animal.n.01,rack,0.46702519059181213
food,food.n.01,freezer,0.6043609976768494
accessory,accessory.n.01,stretcher,0.7775222063064575
sea animal,marine_animal.n.01,stool,0.42146676778793335
toiletry,toiletry.n.01,envelope,0.6728618144989014
livestock,livestock.n.01,jacket,0.40280187129974365
furniture,furniture.n.01,scallop,0.6795902252197266
animal,animal.n.01,sprouts,0.7020779848098755
plant,plant.n.02,margarita,0.44336771965026855
musical instrument,musical_instrument.n.01,duckling,0.4169663190841675
food,food.n.01,calf,0.44631707668304443
tool,tool.n.01,cantaloupe,0.6096739768981934
breakfast,breakfast.n.00,puppy,0.5456380844116211
food,food.n.01,cruise ship,0.5026236176490784
accessory,accessory.n.01,margarita,0.4533332288265228
insect,insect.n.01,chair,0.3737034797668457
vegetable,vegetable.n.01,maple syrup,0.4871450662612915
fruit,edible_fruit.n.01,okra,0.727056086063385
weapon,weapon.n.01,creme brulee,0.4466201961040497
animal,animal.n.01,brake,0.4723464846611023
animal,animal.n.01,noodle,0.6710087656974792
water vehicle,vessel.n.02,creme brulee,0.4105548560619354
fastener,fastener.n.01,trident,0.5198867321014404
food,food.n.01,jug,0.4806169867515564
accessory,accessory.n.01,nut,0.4516023099422455
musical instrument,musical_instrument.n.01,rabbit,0.691348671913147
livestock,livestock.n.01,chair,0.41150617599487305
toiletry,toiletry.n.01,calf,0.411892294883728
tool,tool.n.01,noisemaker,0.5917468070983887
vegetable,vegetable.n.01,pickle,0.8219352960586548
mammal,mammal.n.01,bunkbed,0.4385923743247986
vegetable,vegetable.n.01,crayfish,0.8068852424621582
musical instrument,musical_instrument.n.01,margarita,0.42736178636550903
clothing,clothing.n.01,velcro,0.705191969871521
tool,tool.n.01,highlighter,0.696014404296875
clothing,clothing.n.01,stool,0.5047925710678101
food,food.n.01,mongoose,0.5052326321601868
fastener,fastener.n.01,bassoon,0.5163360834121704
vehicle,vehicle.n.01,granola,0.4444505274295807
animal,animal.n.01,cornbread,0.4703948199748993
furniture,furniture.n.01,tube top,0.72710782289505
clothing,clothing.n.01,banjo,0.5182949900627136
container,container.n.01,spatula,0.6895809769630432
sea animal,marine_animal.n.01,rabbit,0.760156512260437
footwear,footwear.n.01,tube top,0.8027373552322388
drink,beverage.n.01,goose,0.7508374452590942
candy,candy.n.01,pickle,0.7464014291763306
musical instrument,musical_instrument.n.01,backscratcher,0.6938750743865967
home decor,interior_decoration.n.01,trident,0.3856680393218994
food,food.n.01,nail clippers,0.6021561026573181
clothing,clothing.n.01,crow,0.4954034090042114
food,food.n.01,moth,0.48644378781318665
toy,plaything.n.01,bolt,0.7235596179962158
accessory,accessory.n.01,dollhouse,0.7346210479736328
mammal,mammal.n.01,duckling,0.4251646399497986
electronic device,electronic_device.n.01,maple syrup,0.3957713842391968
home decor,interior_decoration.n.01,cantaloupe,0.5898385047912598
clothing,clothing.n.01,duckling,0.4401012659072876
animal,animal.n.01,needle,0.490297794342041
toy,plaything.n.01,envelope,0.726658821105957
office supply,office_supply.n.00,chain,0.8954862356185913
vegetable,vegetable.n.01,bomb,0.4830910265445709
animal,animal.n.01,lighter,0.6369928121566772
condiment,condiment.n.01,bull,0.404783695936203
outerwear,outerwear.n.01,banana,0.40663981437683105
weapon,weapon.n.01,abacus,0.6859942078590393
condiment,condiment.n.01,okra,0.7439332008361816
tool,tool.n.01,chips,0.4372459650039673
food,food.n.01,latch,0.7032313346862793
animal,animal.n.01,balloon,0.4844040870666504
vehicle,vehicle.n.01,dustpan,0.6912695169448853
jewelry,jewelry.n.01,scallop,0.6524451375007629
footwear,footwear.n.01,dress,0.8296442031860352
sea animal,marine_animal.n.01,honey,0.45451581478118896
food,food.n.01,chalk,0.636693000793457
fastener,fastener.n.01,stretcher,0.7945070266723633
accessory,accessory.n.01,strawberry,0.4542900323867798
food,food.n.01,scarecrow,0.6065468788146973
clothing,clothing.n.01,rabbit,0.7524513006210327
plant,plant.n.02,bikini,0.44714999198913574
food,food.n.01,pocket watch,0.48061060905456543
vegetable,vegetable.n.01,turkey,0.7944936752319336
footwear,footwear.n.01,muff,0.785863995552063
home decor,interior_decoration.n.01,bow,0.7083706855773926
clothing,clothing.n.01,green beans,0.5007905960083008
vegetable,vegetable.n.01,ski boots,0.4813970923423767
vehicle,vehicle.n.01,razor blade,0.6366367936134338
home decor,interior_decoration.n.01,highlighter,0.6335234642028809
furniture,furniture.n.01,jacket,0.4520980715751648
animal,animal.n.01,celery,0.6381769776344299
toiletry,toiletry.n.01,latch,0.687333345413208
toy,plaything.n.01,calf,0.45228099822998047
clothing,clothing.n.01,chain,0.7746449708938599
accessory,accessory.n.01,bolt,0.747083306312561
animal,animal.n.01,fruitcake,0.6492263674736023
headwear,headdress.n.01,bull,0.40578508377075195
seafood,seafood.n.01,rabbit,0.6700454950332642
food,food.n.01,elephant,0.4093339741230011
candy,candy.n.01,ski boots,0.4252951145172119
candy,candy.n.01,lasagna,0.7351137399673462
headwear,headdress.n.01,dustpan,0.714626669883728
container,container.n.01,creme brulee,0.4484015703201294
outerwear,outerwear.n.01,zebra,0.374985933303833
food,food.n.01,grass,0.6044553518295288
food,food.n.01,spear,0.6196957230567932
vehicle,vehicle.n.01,mirror,0.44430065155029297
mammal,mammal.n.01,honey,0.4223654568195343
animal,animal.n.01,artichoke,0.6658244132995605
clothing,clothing.n.01,honey,0.4294446110725403
garden tool,garden_tool.n.01,bull,0.4294367730617523
musical instrument,musical_instrument.n.01,clover,0.4416038990020752
jewelry,jewelry.n.01,tube top,0.6807446479797363
food,food.n.01,coffin,0.48340725898742676
women's clothing,womens_clothing.n.00,elephant,0.5093251466751099
container,container.n.01,razor,0.45849698781967163
musical instrument,musical_instrument.n.01,envelope,0.688477635383606
vehicle,vehicle.n.01,trunk,0.6765319108963013
animal,animal.n.01,airplane,0.6192775964736938
water vehicle,vessel.n.02,chain,0.6658599376678467
vehicle,vehicle.n.01,car seat,0.6363469362258911
game,game.n.01,backscratcher,0.6702728271484375
electronic device,electronic_device.n.01,hook,0.6361358165740967
weapon,weapon.n.01,stretcher,0.707937479019165
plant,plant.n.02,jam,0.4395328164100647
furniture,furniture.n.01,fly,0.45025864243507385
game,game.n.01,honey,0.41518452763557434
accessory,accessory.n.01,jam,0.44272416830062866
kitchen equipment,kitchen_appliance.n.01,latch,0.7017353177070618
electronic device,electronic_device.n.01,stiletto,0.41788357496261597
auto part,auto_part.n.01,coil,0.689414918422699
bird,bird.n.01,mirror,0.42922836542129517
dessert,dessert.n.01,mandolin,0.4789873957633972
auto part,auto_part.n.01,whisk,0.6808872222900391
food,food.n.01,microwave,0.6004738211631775
tool,tool.n.01,kitten,0.45251303911209106
weapon,weapon.n.01,router,0.7027764320373535
fruit,edible_fruit.n.01,jacket,0.39610859751701355
vehicle,vehicle.n.01,peeler,0.698765754699707
musical instrument,musical_instrument.n.01,calf,0.4450981914997101
clothing,clothing.n.01,bus,0.7106063365936279
food,food.n.01,diaper,0.5927656888961792
food,food.n.01,flask,0.44722333550453186
food,food.n.01,beaver,0.6143975853919983
food,food.n.01,weasel,0.6156497001647949
tool,tool.n.01,ice cream,0.44062936305999756
food,food.n.01,toaster,0.6498140692710876
garden tool,garden_tool.n.01,mirror,0.4257703423500061
toy,plaything.n.01,latch,0.7479569911956787
vehicle,vehicle.n.01,tube top,0.6937011480331421
tool,tool.n.01,maple syrup,0.39484357833862305
clothing,clothing.n.01,tweezers,0.7187666893005371
kitchen tool,kitchen_utensil.n.01,puppy,0.43010228872299194
food,food.n.01,jar,0.4940248131752014
container,container.n.01,trident,0.4709433913230896
electronic device,electronic_device.n.01,centerpiece,0.6036781668663025
animal,animal.n.01,pineapple,0.6399171352386475
animal,animal.n.01,knob,0.46289440989494324
kitchen equipment,kitchen_appliance.n.01,elephant,0.3965716063976288
tool,tool.n.01,gorilla,0.43204206228256226
medical equipment,medical_instrument.n.01,coil,0.6849745512008667
school supply,school_supply.n.00,coil,0.8955267667770386
mammal,mammal.n.01,earwig,0.671484112739563
medical equipment,medical_instrument.n.01,whisk,0.6848079562187195
food,food.n.01,mole,0.6340617537498474
school supply,school_supply.n.00,whisk,0.9066174626350403
fruit,edible_fruit.n.01,chair,0.3919766843318939
drink,beverage.n.01,puppy,0.4519193172454834
food,food.n.01,ink,0.6000881195068359
container,container.n.01,cantaloupe,0.6796005368232727
food,food.n.01,brace,0.484377384185791
fruit,edible_fruit.n.01,juice,0.7134839296340942
tool,tool.n.01,crayfish,0.5970380306243896
animal,animal.n.01,spatula,0.6510628461837769
tool,tool.n.01,cardinal,0.44636932015419006
vegetable,vegetable.n.01,goose,0.8049543499946594
animal,animal.n.01,leotard,0.6184269189834595
plant,plant.n.02,catfish,0.6985305547714233
home decor,interior_decoration.n.01,strawberry,0.375313937664032
fastener,fastener.n.01,tea,0.5196091532707214
toy,plaything.n.01,elephant,0.41379430890083313
bird,bird.n.01,squirrel,0.691386878490448
sea animal,marine_animal.n.01,crayfish,0.7885404825210571
toiletry,toiletry.n.01,whisk,0.6917716860771179
sea animal,marine_animal.n.01,hippopotamus,0.731140673160553
food,food.n.01,dishwasher,0.5958238840103149
clothing,clothing.n.01,kitten,0.5128108263015747
accessory,accessory.n.01,latch,0.7722650766372681
outerwear,outerwear.n.01,undershirt,0.7404879927635193
vehicle,vehicle.n.01,apple,0.4277269244194031
plant,plant.n.02,zucchini,0.7128592133522034
toy,plaything.n.01,spear,0.7139818668365479
breakfast,breakfast.n.00,trident,0.5641482472419739
game,game.n.01,envelope,0.6592071056365967
container,container.n.01,highlighter,0.7328559160232544
breakfast,breakfast.n.00,cinnamon,0.907462477684021
electronic device,electronic_device.n.01,broom,0.6552672386169434
food,food.n.01,chessboard,0.49300092458724976
weapon,weapon.n.01,strawberry,0.4335160553455353
tool,tool.n.01,burrito,0.4494616687297821
food,food.n.01,zebra,0.4177926778793335
clothing,clothing.n.01,maple syrup,0.43392688035964966
tool,tool.n.01,flipper,0.5918532609939575
tool,tool.n.01,grille,0.4485894739627838
tool,tool.n.01,saxophone,0.4526258707046509
musical instrument,musical_instrument.n.01,latch,0.7066846489906311
food,food.n.01,brake,0.4927276372909546
breakfast,breakfast.n.00,bassoon,0.5764877796173096
vehicle,vehicle.n.01,whipped cream,0.4380832314491272
furniture,furniture.n.01,duckling,0.4228864312171936
food,food.n.01,hinge,0.5925531983375549
musical instrument,musical_instrument.n.01,chalk,0.7114435434341431
breakfast,breakfast.n.00,macaroni,0.9263831377029419
plant,plant.n.02,elephant,0.4463941156864166
protective clothing,protective_covering.n.01,mandolin,0.4091653525829315
weapon,weapon.n.01,bolt,0.7003356218338013
electronic device,electronic_device.n.01,coil,0.685874342918396
footwear,footwear.n.01,duckling,0.4276878833770752
outerwear,outerwear.n.01,costume,0.6971502900123596
home decor,interior_decoration.n.01,rifle,0.39217063784599304
mammal,mammal.n.01,pickle,0.6621382236480713
mammal,mammal.n.01,crayfish,0.7425512075424194
game,game.n.01,calf,0.41524529457092285
clothing,clothing.n.01,pickle,0.7289878129959106
accessory,accessory.n.01,elephant,0.4013688564300537
clothing,clothing.n.01,crayfish,0.7398547530174255
headwear,headdress.n.01,muff,0.6942505240440369
toiletry,toiletry.n.01,zebra,0.4158225357532501
vehicle,vehicle.n.01,chair,0.44405925273895264
accessory,accessory.n.01,kite,0.7448890209197998
tool,tool.n.01,kaleidoscope,0.6175837516784668
container,container.n.01,router,0.6561518311500549
footwear,footwear.n.01,stretcher,0.7669161558151245
weapon,weapon.n.01,tea,0.432666540145874
mammal,mammal.n.01,staple gun,0.44059422612190247
furniture,furniture.n.01,rabbit,0.6936050653457642
electronic device,electronic_device.n.01,cream cheese,0.4221799373626709
food,food.n.01,cane,0.48167750239372253
animal,animal.n.01,creme brulee,0.4631527066230774
sea animal,marine_animal.n.01,turkey,0.7211228609085083
food,food.n.01,refrigerator,0.6342856884002686
food,food.n.01,chinchilla,0.6320685148239136
mammal,mammal.n.01,goldfish,0.6623242497444153
seafood,seafood.n.01,pickle,0.6624120473861694
mammal,mammal.n.01,octopus,0.7015995979309082
animal,animal.n.01,chariot,0.6814024448394775
furniture,furniture.n.01,chain,0.7080405950546265
animal,animal.n.01,razor,0.4819050431251526
bird,bird.n.01,t-shirt,0.4354655146598816
tool,tool.n.01,centerpiece,0.6275371313095093
weapon,weapon.n.01,jam,0.4207487106323242
mammal,mammal.n.01,bomb,0.42526406049728394
game,game.n.01,lingerie,0.4120500981807709
container,container.n.01,funnel,0.701854407787323
insect,insect.n.01,maple syrup,0.3708087205886841
furniture,furniture.n.01,backscratcher,0.6997096538543701
clothing,clothing.n.01,bomb,0.512501060962677
musical instrument,musical_instrument.n.01,projector,0.7302037477493286
women's clothing,womens_clothing.n.00,bull,0.5129475593566895
animal,animal.n.01,meat,0.6626763343811035
food,food.n.01,gazelle,0.5016329288482666
women's clothing,womens_clothing.n.00,dustpan,0.866992712020874
food,food.n.01,lighter,0.6786142587661743
dessert,dessert.n.01,appetizer,0.7497622966766357
clothing,clothing.n.01,swab,0.7303863763809204
furniture,furniture.n.01,honey,0.4039013981819153
animal,animal.n.01,fishbowl,0.6307735443115234
auto part,auto_part.n.01,puppy,0.44219738245010376
musical instrument,musical_instrument.n.01,jelly bean,0.44487738609313965
fruit,edible_fruit.n.01,duckling,0.4202442765235901
mammal,mammal.n.01,turkey,0.6911245584487915
food,food.n.01,bee,0.49326595664024353
dessert,dessert.n.01,trident,0.4667038321495056
plant,plant.n.02,pea,0.7524662017822266
clothing,clothing.n.01,turkey,0.728712260723114
mammal,mammal.n.01,ski boots,0.45104432106018066
food,food.n.01,rooster,0.4364158511161804
clothing,clothing.n.01,lasagna,0.7310410737991333
animal,animal.n.01,pumpkin,0.6617423295974731
food,food.n.01,snail,0.6254963874816895
dessert,dessert.n.01,cantaloupe,0.7647333741188049
electronic device,electronic_device.n.01,bacon,0.41628074645996094
game,game.n.01,latch,0.6791636347770691
electronic device,electronic_device.n.01,dashboard,0.6250355243682861
toy,plaything.n.01,zebra,0.4165019690990448
livestock,livestock.n.01,pickle,0.6642435789108276
fruit,edible_fruit.n.01,rabbit,0.7142888903617859
livestock,livestock.n.01,crayfish,0.6704738140106201
jewelry,jewelry.n.01,duckling,0.3670102059841156
dessert,dessert.n.01,bassoon,0.471908301115036
animal,animal.n.01,trident,0.4458087384700775
animal,animal.n.01,abacus,0.6680889129638672
food,food.n.01,undershirt,0.610082745552063
food,food.n.01,deodorant,0.6079633235931396
container,container.n.01,strawberry,0.4522831439971924
dessert,dessert.n.01,macaroni,0.7509342432022095
animal,animal.n.01,cinnamon,0.6467416286468506
seafood,seafood.n.01,turkey,0.6647826433181763
mammal,mammal.n.01,taco,0.4410916268825531
toiletry,toiletry.n.01,rooster,0.41524016857147217
animal,animal.n.01,corsage,0.6171032190322876
medical equipment,medical_instrument.n.01,puppy,0.40117114782333374
school supply,school_supply.n.00,puppy,0.542296290397644
seafood,seafood.n.01,lasagna,0.6346495151519775
food,food.n.01,test tube,0.46996891498565674
women's clothing,womens_clothing.n.00,mirror,0.5188219547271729
fastener,fastener.n.01,elephant,0.4860706627368927
animal,animal.n.01,cantaloupe,0.6900005340576172
vegetable,vegetable.n.01,puppy,0.4635644555091858
tool,tool.n.01,pot,0.5980632305145264
kitchen equipment,kitchen_appliance.n.01,bull,0.416348397731781
women's clothing,womens_clothing.n.00,undershirt,0.8684868216514587
musical instrument,musical_instrument.n.01,whisk,0.6968870162963867
breakfast,breakfast.n.00,spaghetti,0.9370529055595398
sea animal,marine_animal.n.01,beaver,0.7264995574951172
kitchen equipment,kitchen_appliance.n.01,dustpan,0.7097427845001221
toiletry,toiletry.n.01,scallop,0.6789088249206543
animal,animal.n.01,police car,0.6178588271141052
candy,candy.n.01,fruitcake,0.7392226457595825
food,food.n.01,dynamite,0.48385947942733765
food,food.n.01,harp,0.5454328060150146
container,container.n.01,maple syrup,0.454990029335022
vehicle,vehicle.n.01,crow,0.42795491218566895
tool,tool.n.01,goose,0.6009392142295837
electronic device,electronic_device.n.01,bull,0.3830114006996155
food,food.n.01,inhaler,0.6077688932418823
food,food.n.01,vulture,0.5105317234992981
electronic device,electronic_device.n.01,dustpan,0.6600822806358337
food,food.n.01,ratchet,0.5956150889396667
animal,animal.n.01,highlighter,0.6841378211975098
vehicle,vehicle.n.01,shortbread,0.43888190388679504
tool,tool.n.01,cream cheese,0.4286258816719055
clothing,clothing.n.01,coaster,0.7083053588867188
vehicle,vehicle.n.01,duckling,0.43590012192726135
food,food.n.01,hawk,0.4980843663215637
food,food.n.01,machine gun,0.5060739517211914
container,container.n.01,mussel,0.6606405973434448
animal,animal.n.01,scoop,0.45543617010116577
office supply,office_supply.n.00,coil,0.8993548154830933
food,food.n.01,flyswatter,0.593006432056427
electronic device,electronic_device.n.01,razor blade,0.6118373870849609
food,food.n.01,hearing aid,0.6227002143859863
tool,tool.n.01,sewing machine,0.5940513014793396
footwear,footwear.n.01,robe,0.779443621635437
mammal,mammal.n.01,flask,0.45266133546829224
musical instrument,musical_instrument.n.01,zebra,0.43372681736946106
condiment,condiment.n.01,rabbit,0.7506340742111206
clothing,clothing.n.01,flask,0.49178603291511536
kitchen equipment,kitchen_appliance.n.01,mirror,0.4378418028354645
weapon,weapon.n.01,elephant,0.4046953320503235
vehicle,vehicle.n.01,rabbit,0.6446444392204285
fastener,fastener.n.01,weasel,0.9264698624610901
home decor,interior_decoration.n.01,broom,0.5917973518371582
container,container.n.01,drum,0.6531976461410522
dessert,dessert.n.01,nut,0.4833347797393799
toiletry,toiletry.n.01,hawk,0.4255860447883606
sea animal,marine_animal.n.01,rack,0.45113566517829895
fastener,fastener.n.01,pea,0.7923475503921509
fruit,edible_fruit.n.01,almond,0.8455374240875244
drink,beverage.n.01,trident,0.45634186267852783
plant,plant.n.02,bull,0.44413310289382935
tool,tool.n.01,christmas tree,0.5991874933242798
plant,plant.n.02,okra,0.6924425363540649
food,food.n.01,tapestry,0.5962569713592529
vegetable,vegetable.n.01,pineapple,0.761810302734375
animal,animal.n.01,router,0.6401832103729248
plant,plant.n.02,dustpan,0.6862337589263916
clothing,clothing.n.01,chickpea,0.7241802215576172
clothing,clothing.n.01,whisk,0.7655640840530396
kitchen tool,kitchen_utensil.n.01,stove,0.8115870952606201
accessory,accessory.n.01,bull,0.41018110513687134
breakfast,breakfast.n.00,mussel,0.917041540145874
container,container.n.01,blouse,0.47622913122177124
home decor,interior_decoration.n.01,coil,0.6229537129402161
bird,bird.n.01,rearview mirror,0.43481209874153137
accessory,accessory.n.01,dustpan,0.7710862159729004
food,food.n.01,slicer,0.5938035249710083
school supply,school_supply.n.00,spatula,0.8799812197685242
vehicle,vehicle.n.01,backscratcher,0.6746951937675476
container,container.n.01,saxophone,0.473888635635376
garden tool,garden_tool.n.01,duckling,0.4372274875640869
food,food.n.01,jacket,0.43824684619903564
clothing,clothing.n.01,clarinet,0.520315408706665
vehicle,vehicle.n.01,honey,0.40587127208709717
food,food.n.01,rattlesnake,0.4918733835220337
tool,tool.n.01,dashboard,0.6180368661880493
bird,bird.n.01,margarita,0.405269980430603
electronic device,electronic_device.n.01,cordon bleu,0.4148124158382416
game,game.n.01,whisk,0.6581400036811829
mammal,mammal.n.01,mushroom,0.678784966468811
mammal,mammal.n.01,rack,0.4207157492637634
food,food.n.01,bowtie,0.4986313581466675
dessert,dessert.n.01,spaghetti,0.7730096578598022
food,food.n.01,stroller,0.5933032035827637
water vehicle,vessel.n.02,coil,0.6641486883163452
container,container.n.01,stiletto,0.4588775634765625
kitchen equipment,kitchen_appliance.n.01,tube top,0.7057051658630371
electronic device,electronic_device.n.01,toast,0.42042696475982666
container,container.n.01,kaleidoscope,0.6471837759017944
vehicle,vehicle.n.01,bumper,0.6858664751052856
plant,plant.n.02,mirror,0.4264894723892212
food,food.n.01,alpaca,0.49353906512260437
kitchen tool,kitchen_utensil.n.01,stretcher,0.7196314930915833
headwear,headdress.n.01,backscratcher,0.716588020324707
food,food.n.01,chair,0.4720139503479004
toy,plaything.n.01,dynamite,0.44581788778305054
container,container.n.01,catfish,0.6542966961860657
animal,animal.n.01,dollhouse,0.6373400688171387
accessory,accessory.n.01,mirror,0.44352954626083374
food,food.n.01,folder,0.49947166442871094
protective clothing,protective_covering.n.01,stretcher,0.6905139684677124
clothing,clothing.n.01,noodle,0.740452229976654
food,food.n.01,sheep,0.4809119701385498
food,food.n.01,dog,0.5966039896011353
plant,plant.n.02,scallion,0.6981160044670105
kitchen tool,kitchen_utensil.n.01,margarita,0.44038403034210205
accessory,accessory.n.01,footrest,0.7419492602348328
container,container.n.01,juicer,0.6496375203132629
toy,plaything.n.01,tube top,0.744769811630249
garden tool,garden_tool.n.01,backscratcher,0.7195644378662109
musical instrument,musical_instrument.n.01,rooster,0.4380820393562317
animal,animal.n.01,gumdrop,0.48284441232681274
tool,tool.n.01,taffy,0.44074249267578125
container,container.n.01,centerpiece,0.6595674753189087
game,game.n.01,zebra,0.38222986459732056
container,container.n.01,cocktail,0.45967763662338257
food,food.n.01,dresser,0.5077430605888367
livestock,livestock.n.01,boar,0.7053459882736206
mammal,mammal.n.01,fern,0.6573234796524048
animal,animal.n.01,strawberry,0.4677819013595581
kitchen tool,kitchen_utensil.n.01,nut,0.43858617544174194
container,container.n.01,incubator,0.6678808331489563
plant,plant.n.02,toast,0.4414440393447876
food,food.n.01,earring,0.5107483863830566
furniture,furniture.n.01,lasagna,0.6790737509727478
home decor,interior_decoration.n.01,dashboard,0.5951993465423584
vehicle,vehicle.n.01,clover,0.4196622371673584
food,food.n.01,coyote,0.5035855770111084
garden tool,garden_tool.n.01,drill,0.7718574404716492
animal,animal.n.01,lettuce,0.6196274757385254
bird,bird.n.01,whale,0.6958544254302979
food,food.n.01,lectern,0.5987584590911865
dessert,dessert.n.01,rifle,0.47693318128585815
fastener,fastener.n.01,bull,0.5044739246368408
vehicle,vehicle.n.01,envelope,0.7011644244194031
electronic device,electronic_device.n.01,apple,0.4187828004360199
plant,plant.n.02,tube top,0.6958019137382507
animal,animal.n.01,ice cream,0.4896959662437439
fastener,fastener.n.01,dustpan,0.806346595287323
breakfast,breakfast.n.00,zucchini,0.9132486581802368
animal,animal.n.01,maple syrup,0.4019603133201599
mammal,mammal.n.01,ostrich,0.657281756401062
accessory,accessory.n.01,tube top,0.7843276262283325
outerwear,outerwear.n.01,honey,0.36868324875831604
animal,animal.n.01,tomato,0.6376734972000122
auto part,auto_part.n.01,trident,0.4152255654335022
bird,bird.n.01,bikini,0.4328785538673401
container,container.n.01,broom,0.6615927219390869
musical instrument,musical_instrument.n.01,dynamite,0.4437406361103058
animal,animal.n.01,rifle,0.48426300287246704
toy,plaything.n.01,jacket,0.4453356862068176
food,food.n.01,fishbowl,0.6170831322669983
food,food.n.01,cable,0.500505805015564
condiment,condiment.n.01,calf,0.4219255745410919
home decor,interior_decoration.n.01,bull,0.3630210757255554
clothing,clothing.n.01,rooster,0.4726655185222626
breakfast,breakfast.n.00,elephant,0.5237044095993042
animal,animal.n.01,ballot box,0.4857989549636841
headwear,headdress.n.01,envelope,0.7045210599899292
food,food.n.01,bunkbed,0.4814987778663635
auto part,auto_part.n.01,bassoon,0.426098108291626
home decor,interior_decoration.n.01,dustpan,0.6294854879379272
musical instrument,musical_instrument.n.01,prune,0.42531126737594604
food,food.n.01,trumpet,0.4996451735496521
tool,tool.n.01,cordon bleu,0.4198003113269806
container,container.n.01,coil,0.7248576879501343
food,food.n.01,stool,0.45011553168296814
container,container.n.01,chickpea,0.669699490070343
food,food.n.01,headscarf,0.5122470259666443
musical instrument,musical_instrument.n.01,hearing aid,0.7332836389541626
auto part,auto_part.n.01,police car,0.6937350630760193
mammal,mammal.n.01,celery,0.6675972938537598
medical equipment,medical_instrument.n.01,mixer,0.6995564699172974
animal,animal.n.01,drum,0.6285452842712402
food,food.n.01,brush,0.5045614242553711
fastener,fastener.n.01,mirror,0.4996427595615387
fruit,edible_fruit.n.01,turkey,0.7125856876373291
food,food.n.01,banjo,0.44828101992607117
tool,tool.n.01,flamingo,0.4438508152961731
container,container.n.01,goose,0.6644958257675171
plant,plant.n.02,pepper,0.709526538848877
container,container.n.01,roof rack,0.6487442851066589
fruit,edible_fruit.n.01,ski boots,0.4162970185279846
medical equipment,medical_instrument.n.01,trident,0.4345247149467468
tool,tool.n.01,toast,0.4479823708534241
school supply,school_supply.n.00,abacus,0.8888983130455017
weapon,weapon.n.01,bull,0.422308087348938
clothing,clothing.n.01,fruitcake,0.7097325325012207
vegetable,vegetable.n.01,trident,0.472176730632782
game,game.n.01,rooster,0.4187811315059662
plant,plant.n.02,jacket,0.43715327978134155
container,container.n.01,cream cheese,0.4434678852558136
weapon,weapon.n.01,dustpan,0.7048443555831909
auto part,auto_part.n.01,highlighter,0.6919621229171753
vegetable,vegetable.n.01,cinnamon,0.7877947092056274
food,food.n.01,crystal ball,0.4811958968639374
clothing,clothing.n.01,puppy,0.44788992404937744
food,food.n.01,crow,0.47653424739837646
water vehicle,vessel.n.02,taffy,0.4136446714401245
animal,animal.n.01,blouse,0.4817262589931488
